,LR pairs,tech,organ,regulate,logFC,FDR
333,Afdn-Nectin4,STomics,Brain,Up,0.630534276,0.009005772
334,Ntf3-Ntrk3,STomics,Brain,Up,0.719508715,0.009005772
335,Thbs4-Sdc4,STomics,Brain,Up,0.711270162,0.009005772
336,Myoc-Fzd3,STomics,Brain,Down,-0.601234386,0.009544699
337,Col6a2-Sdc4,STomics,Brain,Up,0.548797074,0.009742199
338,Cd14-C3ar1,STomics,Brain,Up,1.218568637,0.009912988
339,Wnt1-Fzd3,STomics,Brain,Up,1.056208744,0.009916797
340,Entpd1-Adora2b,STomics,Brain,Down,-0.933945697,0.009916797
341,Nectin3-Nectin2,STomics,Brain,Down,-0.696229684,0.009916797
342,Nectin2-Nectin3,STomics,Brain,Down,-0.696229684,0.009916797
343,Fgf2-Fgfr2,STomics,Brain,Up,0.536152428,0.010780042
344,Col8a1-Itga1,STomics,Brain,Up,0.973561704,0.01080225
345,Sema6d-Trem2,STomics,Brain,Up,0.450004654,0.01080225
346,Gnai2-C5ar1,STomics,Brain,Up,0.779243133,0.011501519
347,Tgfb1-Itgav,STomics,Brain,Up,0.903188011,0.012616361
348,Icam5-Cd209a,STomics,Brain,Up,1.589434059,0.012616361
349,Col4a6-Sdc4,STomics,Brain,Up,0.940216256,0.013331012
350,Pros1-Tyro3,STomics,Brain,Up,0.454256693,0.013331012
351,Lefty1-Acvr1,STomics,Brain,Up,1.042204557,0.013795598
352,Il16-Kcnd2,STomics,Brain,Up,0.989727745,0.013795598
353,Vwf-Gp1bb,STomics,Brain,Up,0.503599364,0.014775695
354,Bmp6-Acvr1,STomics,Brain,Up,0.646974585,0.015123186
355,Igf1-Itgav,STomics,Brain,Up,0.514788244,0.015123186
356,Anxa2-Tlr2,STomics,Brain,Up,0.932645816,0.016806561
357,Icam1-Itgav,STomics,Brain,Up,0.561769067,0.018463331
358,Pros1-Mertk,STomics,Brain,Up,0.508357167,0.021201267
359,Sema6d-Tyrobp,STomics,Brain,Up,0.496006096,0.022260043
360,Vcan-Tlr2,STomics,Brain,Up,1.187804975,0.02264712
361,Ptgs2-Ptger4,STomics,Brain,Up,0.95709434,0.024321304
362,Col3a1-Adgrg1,STomics,Brain,Down,-0.87615362,0.026410448
363,Itgb2-Thy1,STomics,Brain,Up,0.656524803,0.026783103
364,Col4a4-Itgb1,STomics,Brain,Up,0.753640637,0.027076644
