"","Ligand.gene.symbol","Receptor.gene.symbol"
"848","Efna3","Epha8"
"849","Efna4","Epha1"
"850","Efna4","Epha2"
"851","Efna4","Epha3"
"852","Efna4","Epha4"
"853","Efna4","Epha5"
"854","Efna4","Epha7"
"855","Efna4","Epha8"
"856","Efna5","Epha1"
"857","Efna5","Epha2"
"858","Efna5","Epha3"
"859","Efna5","Epha4"
"860","Efna5","Epha5"
"861","Efna5","Epha7"
"862","Efna5","Epha8"
"863","Efna5","Ephb2"
"864","Efnb1","Epha4"
"865","Efnb1","Ephb1"
"866","Efnb1","Ephb2"
"867","Efnb1","Ephb3"
"868","Efnb1","Ephb4"
"869","Efnb2","Epha4"
"870","Efnb2","Ephb1"
"871","Efnb2","Ephb2"
"872","Efnb2","Ephb3"
"873","Efnb2","Ephb4"
"874","Efnb3","Epha4"
"875","Efnb3","Ephb1"
"876","Efnb3","Ephb2"
"877","Efnb3","Ephb3"
"878","Efnb3","Ephb4"
"879","Efnb3","Ephb6"
"880","Esam","Esam"
"881","Icam1","Itgal"
"882","Icam1","Spn"
"883","Icam5","Cd209a"
"884","Icam5","Cd209f"
"885","Icosl","Icos"
"886","Icosl","Cd28"
"887","Icosl","Ctla4"
